market_title,site,number,menu,work_hours,price_range,address,category,image,latitude,longitude,tags
소금집델리,,02-336-2617,"잠봉뵈르(1만3천8백원), 잠봉프로마쥬(1만4천8백원), 파스트라미샌드위치(1만5천8백원), 루벤(1만6천8백원), 비엘티(1만4천8백원), 이엘티(1만3천8백원)",11:00~21:00(마지막 주문 20:30) ,1~2만원대,서울특별시 마포구 망원동 57-38,"기타, 샤퀴테리, 샌드위치",restaurant_pics/소금집델리.jpg,37.556823649468,126.90823736311545,
로컬릿,https://www.instagram.com/the_local_eater,02-2282-1124,"채소테린(1만6천원), 가지라자냐(1만7천원), 시금치뇨키(1만9천원), 호박카넬로니, 한우라구파스타(2만원), 새우리조토(2만4천원)",11:00~15:00/17:00~21:00 (마지막 주문 20:30) ,2~5만원대,서울특별시 성동구 옥수동 201-1 청훈빌딩,이탈리아식,restaurant_pics/로컬릿.jpg,37.5409414348017,127.014746912628,비건레스토랑
오월의종,,02-749-9481,"무화과호밀빵(3천5백원), 후가스, 바게트에피, 모카빵(각 4천원), 바게트(4천5백원), 소시지바게트(5천원), 바질치즈브레드(4천원)",11:00~18:00 ,1만원 미만,서울특별시 용산구 한남동 745-11,"디저트/차/베이커리, 베이커리",restaurant_pics/오월의종.jpg,37.5366074435475,126.997831352071,
꼼모아,https://www.instagram.com/commemoa.gn/,02-6958-5330,"비프웰링턴(2인 8만원), 화이트크림소스파이(1만9천원), 오리다리콩피&오렌지, 당근퓨레(3만3천원), 오렌지수플레(1만3천원), 소고기라구파스타(2만7천원), 비스크소스관자구이(2만7천원), 수란프로슈토아스파라거스(2만6천원)","17:30~23:00(마지막 주문 21:30) | 토, 일요일 12:00~15:00/17:30~23:00(마지막 주문 21:30) ",5~10만원대,서울특별시 강남구 논현동 108-6,"바/주점, 프렌치비스트로, 프랑스식",restaurant_pics/꼼모아.jpg,37.5181990350542,127.038222826352,
미카야,https://www.instagram.com/cafe_michaya/,02-3143-3579,"레어치즈케이크, 쇼콜라케이크(각 7천원), 아메리카노(4천5백원), 커피(4천5백원~6천5백원)",12:00~22:00 ,1만원 미만,서울특별시 마포구 서교동 446-59 학산빌딩,"디저트/차/베이커리, 케이크, 북카페",restaurant_pics/미카야.jpg,37.55547,126.9182,
마망갸또,https://www.instagram.com/mamangateau_/,070-4353-5860 ,"생캐러멜(1천8백원), 캐러멜롤(7천5백원), 캐러멜밀크티(7천5백원), 캐러멜빙수(1만8천원), 아메리카노(5천원), 카페라테(5천5백원)",12:00~21:00 ,1만원 미만,서울특별시 강남구 신사동 524-27,"디저트/차/베이커리, 캐러멜, 디저트카페",restaurant_pics/마망갸또.jpg,37.52223,127.0215,
오뗄두스,https://www.instagram.com/hoteldouce_seorae,02-595-5705 ,"아메리카노(4천원), 카페라테(4천5백원), 바닐라라테(5천원), 마카롱(2천5백원), 에클레르(6천5백원), 밀푀유(7천원)","12:00~20:00│토, 일요일 10:00~21:00 ",1만원 미만,서울특별시 서초구 반포동 93-5 서래,"디저트/차/베이커리, 디저트카페",restaurant_pics/오뗄두스.jpg,37.49953,126.9989,
합,https://www.instagram.com/haap2010/,010-9727-8190,"약과, 주악, 호두얼음과자, 증편(각 2천원)",09:30~17:00 ,1만원 미만,서울특별시 강남구 신사동 525-9 컨템포빌딩,"디저트/차/베이커리, 한식디저트, 한과, 떡",restaurant_pics/합.jpg,37.5223173108567,127.020612195958,
옛날오막집,https://www.instagram.com/yetnalomakjib.official/,051-243-6973  ,"특양(170g 3만8천원), 대창, 곱창(각 180g 3만7천원), 백특양(130g 4만1천원), 양념갈비(280g 4만1천원), 생갈비(220g 4만5천원), 염통, 콩팥(180g 3만7천원)",12:00~21:30(마지막 주문 20:30) ,5~10만원대,부산광역시 서구 동대신동1가 236,"한식(육류), 양곱창",restaurant_pics/옛날오막집.jpg,35.108997,129.019853,노포
전라회관,,063-228-3033  ,한정식(4인 16만원),12:00~15:00/18:00~21:30 ,2~5만원대,전라북도 전주시 완산구 삼천동1가 751-8,"한식(일반한식), 한정식",restaurant_pics/전라회관.jpg,35.800584,127.132166,"한옥맛집, 노포"
기와집순두부조안본점,,031-576-9009  ,"순두부백반, 콩탕백반, 비빔밥(각 1만원), 재래식생두부, 황태양념구이(각 1만2천원), 두부김치, 파전, 녹두전, 도토리묵, 군두부(각 1만5천원), 생두부&수육(2만5천원), 수육(3만원) ",10:30~20:30(마지막 주문 20:00),1~2만원대,경기도 남양주시 조안면 조안리 169-3 기와집순두부,"한식(일반한식), 순두부, 두부",restaurant_pics/기와집순두부조안본점.jpg,37.537252,127.302404,"한옥맛집, 노포"
아이덴티티커피랩,https://www.instagram.com/identity_coffeelab/,010-5787-3466,"에스프레소, 아메리카노(각 4천원), 카페라테, 카푸치노(각 4천5백원), 필터커피(6천원~1만원), 화이트오크(6천원), 커피셰이크(6천5백원), 비스코티(2천원), 르뱅쿠키(3천5백원)",11:00~19:30(마지막 주문 19:00) ,1만원 미만,서울특별시 마포구 서교동 461-17 수영빌딩,"디저트/차/베이커리, 커피전문점",restaurant_pics/아이덴티티커피랩.jpg,37.5554112242628,126.917486143443,스페셜티커피
동래할매파전,,051-552-0792  ,"동래파전(소 2만8천원, 대 4만원), 동래고동찜(3만원), 약초전병무침(2만5천원), 삼색더덕구이, 골뱅이무침(각 2만3천원), 뚜기상(3인 이상, 1인 4만원), 뚜미상(3인 이상, 1인 3만5천원) ",11:30~15:00/17:00~21:00 ,1~2만원대,부산광역시 동래구 복천동 367-2,"한식(일반한식), 파전",restaurant_pics/동래할매파전.jpg,35.204619,129.083825,노포
라연,https://www.instagram.com/shillahotels/,02-2230-3367 ,"점심코스(18만원대), 저녁코스(29만원), 구절판(5만원), 신선로(2인기준 9만원)",12:00~14:30/17:30~21:30 ,25만원 이상,서울특별시 중구 장충동2가 202,"한식(일반한식), 모던한식",restaurant_pics/라연.jpg,37.55698,127.0059,
거대갈비,,051-746-0037  ,"한우양념갈비(200g 7만원), 안심(100g 7만5천원), 갈빗살(100g 7만5천원), 등심(100g 7만4천원), 안창살(100g 7만7천원), 평양냉면(물/비냉, 9천원), 점심특선(평일 5만3천원, 주말 5만8천원)",11:30~15:00/17:00~22:00 ,5~10만원대,부산광역시 해운대구 중동 1139-4,"한식(육류), 소갈비, 소고기구이, 한식(면류), 평양냉면",restaurant_pics/거대갈비.jpg,35.161575,129.166947,
스위트에삐,,02-419-3276 ,"쿠루쿠루쇼콜라, 쿠루쿠루쎄종(각 6천5백원), 밀크레이프(7천8백원), 딸기크레이프(8천원)",11:00~21:30 ,1만원 미만,서울특별시 강남구 대치동 924-9,"디저트/차/베이커리, 케이크, 디저트카페",restaurant_pics/스위트에삐.jpg,37.49826,127.0542,
밀갸또,https://www.instagram.com/mille_gateaux_/,02-585-9997,"마카롱(2천5백원), 밀푀유(8천5백원), 사과타르트, 레몬타르트, 복숭아타르트(각 7천5백원), 밀갸또쇼콜라, 자허토르테(각 8천5백원), 오페라(7천원), 초콜릿에클레르(5천5백원)",11:00~19:00 ,1만원 미만,서울특별시 서초구 서초동 1668-16 우창빌라,"디저트/차/베이커리, 마카롱, 디저트카페",restaurant_pics/밀갸또.jpg,37.493104,127.018143,
대광식당,,064-758-7768  ,"함흥회냉면, 메밀물냉면, 갈비탕, 육개장(각 1만원), 왕만두(9천원), 재래식돼지갈비(1kg 4만5천원), 흑돼지소금구이(400g 2만8천원, 800g 5만2천원)",09:00~21:00(마지막 주문 20:30) ,1만원 미만,제주특별자치도 제주시 이도일동 1704-12,"한식(면류), 평양냉면, 함흥냉면, 한식(육류), 돼지갈비",restaurant_pics/대광식당.jpg,33.5072242643657,126.525812998066,
오십년할머니집,,043-832-2974  ,"메기매운탕(2인 4만원, 3인 5만원, 4인 6만원), 빠가사리매운탕(2인 5만5천원, 3인 6만5천원, 4인 7만5천원), 쏘가리매운탕(2인 9만원, 3인 11만원, 4인 13만원)",08:00~20:00(마지막 주문 19:00) ,2~5만원대,충청북도 괴산군 괴산읍 대덕리 산61-2 괴강매운탕,"한식(민물어패류), 민물매운탕, 민물생선찜",restaurant_pics/오십년할머니집.jpg,36.80501482578532,127.8194281233136,노포
청자골종가집,,061-433-1100  ,"한정식(4인 16만원, 20만원) ",11:30~20:30,2~5만원대,전라남도 강진군 군동면 호계리 599-2,"한식(일반한식), 한정식",restaurant_pics/청자골종가집.jpg,34.647106,126.784046,한옥맛집
평양면옥,,031-877-2282  ,"메밀물냉면, 메밀비빔냉면, 메밀온면(각 1만4천원), 돼지고기수육(200g 2만4천원), 소고기수육(200g 2만8천원), 만둣국(계절메뉴 10-3월 1만4천원)",11:00~20:20(마지막 주문 19:50) ,1~2만원대,경기도 의정부시 의정부동 385,"한식(육류), 수육, 한식(면류), 평양냉면",restaurant_pics/평양면옥.jpg,37.73097391295375,127.04753134428825,노포
테라로사커피공장,https://www.instagram.com/terarosacoffee/,033-648-2760  ,"아메리카노(5천3백원~5천8백원), 카페라테(6천원), 카푸치노(5천5백원), 핸드드립커피(6천원~1만2천원), 하우스주스(7천원), 베네수엘라초콜릿(6천5백원), 아메리칸피칸파이, 레몬치즈케이크(각 6천원)",09:00~21:00(마지막 주문 20:30) ,1만원 미만,강원특별자치도 강릉시 구정면 어단리 산314,"기타, 브런치카페, 디저트/차/베이커리, 베이커리, 커피전문점",restaurant_pics/테라로사커피공장.jpg,37.6964984768682,128.892026509635,스페셜티커피
전통식당,,061-382-3111  ,"담양한상(1인 1만8천원), 소쇄원한상(1인 2만9천원) ",11:00~15:30/16:30~20:00(마지막 주문 19:00),2~5만원대,전라남도 담양군 고서면 고읍리 688-1,"한식(일반한식), 남도음식, 한정식",restaurant_pics/전통식당.jpg,35.207976,126.986722,
철원막국수,,033-452-2589  ,"물막국수, 비빔막국수, 만두찜(각 9천원), 편육(소 2만원, 대 2만6천원), 녹두빈대떡(1만2천원) ","10:00~15:30/16:30~20:00(마지막 주문 19:30, 재료소진시 조기마감) ",1만원 미만,강원특별자치도 철원군 갈말읍 신철원리 983-6 철원막국수,"한식(면류), 막국수, 한식(육류), 수육",restaurant_pics/철원막국수.jpg,38.146044,127.308652,노포
비원떡집,https://www.instagram.com/biwon1949/,02-765-4928 ,"두텁떡, 약식(각 3천5백원), 쌍개피떡(3천원), 잣설기(2천5백원)",10:00~16:00 | 일요일 10:00~12:00 ,1만원 미만,서울특별시 종로구 가회동 163,"디저트/차/베이커리, 떡",restaurant_pics/비원떡집.jpg,37.5797848928672,126.984863118822,노포
마담타이,https://www.instagram.com/madamthai_/,02-549-7727,"마담팟타이(1만3천원), 소고기공심채볶음(1만8천8백원), 마담커리(2만2천8백원), 마담똠얌꿍(1만9천8백원), 마담솜땀(1만7천8백원), 마담매운고기국수(1만3천8백원)","11:30~14:30/17:30~21:00(마지막 주문 14:00, 20:30) | 토, 일요일 11:00~15:00/17:00~21:00(마지막 주문 14:30, 20:30) ",2~5만원대,서울특별시 강남구 신사동 541-2 호경빌딩,"아시아식, 태국식",restaurant_pics/마담타이.jpg,37.5195011942199,127.023667106026,
면서울by윤서울,,02-336-3323,디너코스(변동),18:00~22:00 ,10~15만원대,서울특별시 강남구 신사동 666-8 W빌딩,"한식(일반한식), 모던한식",restaurant_pics/면서울by윤서울.jpg,37.5241263043193,127.038982210697,
우오보,https://www.instagram.com/uovopastabar/,02-2222-2221,"카르파치오(2만4천원), 루콜라샐러드(1만2천원), 한우채끝스테이크(200g 8만5천원), 시푸드파스타(3만8천원), 보타르가파스타(2만8천원), 뇨키(2만5천원)",17:30~22:30(마지막 주문 21:30) ,5~10만원대,서울특별시 강남구 도곡동 449-2,"이탈리아식, 파스타",restaurant_pics/우오보.jpg,37.4819218756209,127.043796290477,
미우야,https://www.instagram.com/miuya_yangjae/,02-577-6348,"우동, 소바(각 9천원~1만8천원), 덮밥(1만1천원~1만5천원)","11:30~15:00/17:00~21:00 | 토, 일요일 11:30~15:00/17:30~21:00 ",1~2만원대,서울특별시 서초구 양재동 116-5 기정빌딩,"일식, 일식우동, 소바",restaurant_pics/미우야.jpg,37.47399,127.0354,
유포리막국수,,033-242-5168  ,"막국수(8천5백원), 감자부침, 녹두부침, 촌두부(각 1만원), 편육(1만8천원), 메밀전병(1만원) ",11:00~19:30(마지막 주문 19:00),1만원 미만,강원특별자치도 춘천시 신북읍 유포리 62-2,"한식(육류), 수육, 한식(면류), 막국수",restaurant_pics/유포리막국수.jpg,37.946162,127.778341,노포
원조숯불닭불고기집,,033-257-5326  ,"뼈없는닭갈비, 뼈있는닭갈비, 오돌뼈소금구이, 간장닭갈비, 닭내장,닭모래집(각 250g 1만4천원), 된장찌개(3천원), 막국수(8천원) ",10:30~21:00 ,1~2만원대,강원특별자치도 춘천시 중앙로2가 70,"한식(가금류), 닭갈비",restaurant_pics/원조숯불닭불고기집.jpg,37.8787,127.725366,노포
샘밭막국수,,033-242-1712  ,"순메밀막국수(1만2천원), 막국수(8천5백원) 감자전, 녹두전(각 1만원), 순두부, 모두부(각 9천원), 편육(1만6천원~2만원), 보쌈(3만원)","10:00~20:00│명절 전날, 당일 10:00~15:00 ",1~2만원대,강원특별자치도 춘천시 신북읍 천전리 118-23,"한식(육류), 수육, 한식(면류), 막국수",restaurant_pics/샘밭막국수.jpg,37.9295173983054,127.781207476335,노포
운두령,,033-332-1943  ,"송어회(1인 4만원 2인 6만원), 송어구이(반마리 3만원, 한마리 5만원)",11:00~15:00,2~5만원대,강원특별자치도 평창군 용평면 노동리 387-3,"한식(민물어패류), 송어",restaurant_pics/운두령.jpg,37.6958027617453,128.46288084444,한옥맛집
용평회관,,033-335-5217  ,"등심(150g 5만9천원), 차돌박이, 주물럭(각 150g 4만9천원), 생태찌개(소 4만원, 중 4만5천원), 된장찌개(5천원)",12:00~15:00/17:00~21:00(마지막 주문 20:30) ,5~10만원대,강원특별자치도 평창군 대관령면 횡계리 325-2,"한식(육류), 소고기구이, 한식(어패류), 생태",restaurant_pics/용평회관.jpg,37.673591,128.709078,
신식당,https://www.instagram.com/sovely_2007/,061-382-9901  ,"떡갈비구이(250g 3만5천원), 죽순떡갈비전골(250g 4만원), 신식당소반(2인부터 판매, 떡갈비 167g+대통밥, 2만9천원), 비빔밥(1만2천원) ",11:30~20:00 ,2~5만원대,전라남도 담양군 담양읍 담주리 75-1,"한식(일반한식), 비빔밥, 한식(육류), 소떡갈비",restaurant_pics/신식당.jpg,35.32174720440017,126.98199922058063,노포
용바위식당,,033-462-4079  ,"황태구이(7천원), 황태국밥(1만원), 황태구이정식(1만4천원), 도토리묵, 메밀전병, 청국장, 감자전(각 1만원)",08:00~18:00(마지막 주문 17:00) ,1만원 미만,강원특별자치도 인제군 북면 용대리 71-3,"한식(어패류), 황태",restaurant_pics/용바위식당.jpg,38.223973,128.367382,노포
원조현풍박소선할매집곰탕,,053-614-2143,"곰탕(1만4천원), 양곰탕(1만7천원), 특곰탕(1만7천원), 수육(4만원), 살코기곰탕(1만7천원), 족탕(2만1천원)",09:00~20:30(마지막 주문 20:00) ,1~2만원대,대구광역시 달성군 현풍읍 하리 128-1 원조현풍할매집곰탕,"한식(탕/국/찌개/전골), 곰탕, 한식(육류), 수육",restaurant_pics/원조현풍박소선할매집곰탕.jpg,35.69458471340069,128.4457832805499,노포
춘선네,,033-635-8052  ,"곰칫국(1인 3만원), 아귀탕, 가자미조림, 도치알탕, 대구탕(각 4만원) ",07:00~22:00 ,2~5만원대,강원특별자치도 속초시 교동 664-102,"한식(어패류), 곰치, 생선매운탕",restaurant_pics/춘선네.jpg,38.198991993291386,128.5829082861216,
양지말화로구이,,033-435-7533  ,"고추장화로구이(2인 이상, 200g 1만6천원), 간장화로구이(2인 이상, 200g 1만8천원), 더덕구이(400g 3만원), 막국수, 양푼비빔밥(각 1만원), 온면(6천원), 도토리묵사발(1만원) ",11:00~20:30 ,1~2만원대,강원특별자치도 홍천군 홍천읍 하오안리 631-3,"한식(육류), 삼겹살",restaurant_pics/양지말화로구이.jpg,37.65955478928464,127.83129507020917,
덕인집,,061-242-3767  ,"흑산홍어삼합(9만원), 흑산홍어(8만원), 흑산홍어찜(10만원), 홍어애탕(3만원), 돼지수육(각 2만원) ",12:00~21:00,2~5만원대,전라남도 목포시 무안동 4-5,"한식(어패류), 홍어",restaurant_pics/덕인집.jpg,34.78918,126.384937,
부안막국수,,033-254-0654  ,"막국수(9천원, 곱빼기 1만1천원), 사리(7천원), 쟁반국수(소 1만2천원, 대 1만8천원), 도토리묵(9천원), 총떡, 빈대떡, 메밀부침(각 9천원), 보쌈(400g 4만원), 편육(3만원), 족발(4만5천원)",11:00~21:00(마지막 주문 20:30),1만원 미만,강원특별자치도 춘천시 후평동 429-17,"한식(면류), 막국수, 한식(육류), 수육",restaurant_pics/부안막국수.jpg,37.88166,127.749641,
수엔190,,02-2000-2888,"런치코스(5만원~7만원), 코스(7만원~20만원), 탕수육(3만8천원), 소고기짜장면(1만5천원), 해물짬뽕(1만6천원), 유산슬덮밥(1만8천원)",11:30~14:30/17:30~21:30 ,5~10만원대,서울특별시 중구 필동1가 30-1 매경미디어센터,"중식, 일반중식",restaurant_pics/수엔190.jpg,37.56052,126.9929,
금돼지식당,https://www.instagram.com/gold_pig1982/,010-4484-8750 ,"본삼겹(150g 1만9천원), 등목살(150g 2만1천원), 눈꽃목살(150g 1만8천원), 껍데기(120g 1만4천원), 통돼지김치찌개(8천원)",11:30~23:00(마지막 주문 22:15) ,2~5만원대,서울특별시 중구 신당동 370-69,"한식(육류), 돼지고기구이",restaurant_pics/금돼지식당.jpg,37.55709299058367,127.01166616636434,핫플맛집
