restaurant_name,address,number,price_range,restaurant_image1,latitude,longitude
화목순대국전문(광화문1호점),서울특별시 종로구 새문안로5길 11,02-723-8313,만원 미만,/upload/restaurant_pics/화목순대국전문(광화문1호점).jpg,37.5711939,126.9747281
반타이,서울특별시 종로구 율곡로 65,02-747-6655,만원-2만원,/upload/restaurant_pics/반타이.jpg,37.5771681,126.9864126
레이지버거클럽(부암점),서울특별시 종로구 창의문로 137,02-394-2547,만원 미만,/upload/restaurant_pics/레이지버거클럽(부암점).jpg,37.5925996,126.9653155
이찌이스시,서울특별시 종로구 사직로8길 42 B1 114호,02-720-8086,4만원 이상,/upload/restaurant_pics/이찌이스시.jpg,37.57389828,126.9731315
덕후선생(광화문디타워점),서울특별시 종로구 종로3길 17 D타워 리플레이스광화문 4F,02-2251-8422,만원-2만원,/upload/restaurant_pics/덕후선생(광화문디타워점).jpg,37.5710725,126.9789282
갈로팡,서울특별시 종로구 북촌로4길 16 2F,02-766-4906,4만원 이상,/upload/restaurant_pics/갈로팡.jpg,37.5791637,126.9860267
렁팡스,서울특별시 종로구 경희궁길 36 3F,02-722-8053,3만원-4만원,/upload/restaurant_pics/렁팡스.jpg,37.5729427,126.9700896
학술적연구소(휴업중),서울특별시 종로구 보문로1길 7-4 1F,070-8814-8101,만원-2만원,/upload/restaurant_pics/학술적연구소(휴업중).jpg,37.5763057,127.0224941
안덕,서울특별시 종로구 자하문로17길 18 1F,02-723-1518,만원-2만원,/upload/restaurant_pics/안덕.jpg,37.5815044,126.9696626
도트블랭킷,서울특별시 종로구 윤보선길 22,02-732-2220,만원 미만,/upload/restaurant_pics/도트블랭킷.jpg,37.5770287,126.9841128
대련집,서울특별시 종로구 종로16길 37,02-2265-5349,만원 미만,/upload/restaurant_pics/대련집.jpg,37.56839425,126.98890444
퀴진라끌레,서울특별시 종로구 자하문로7길 36,02-6053-1514,2만원-3만원,/upload/restaurant_pics/퀴진라끌레.jpg,37.5791985,126.9702714
라쿠엔,서울특별시 종로구 삼일대로 440  1F,0507-1482-1645,만원-2만원,/upload/restaurant_pics/라쿠엔.jpg,37.5740129,126.9877633
애즈라이크,서울특별시 종로구 효자로7길 23 1F,02-722-9994,만원-2만원,/upload/restaurant_pics/애즈라이크.jpg,37.5784276,126.9733221
델리노쉬,서울특별시 종로구 자하문로 35-6 1F,0507-1312-1171,만원 미만,/upload/restaurant_pics/델리노쉬.jpg,37.5791478,126.9709284
포항,서울특별시 종로구 종로 309-3,010-4575-6911,만원 미만,/upload/restaurant_pics/포항.jpg,37.5723377,127.0120408
남대문막내횟집(광교점),서울특별시 종로구 우정국로 4-1,02-737-5115,만원-2만원,/upload/restaurant_pics/남대문막내횟집(광교점).jpg,37.56920624,126.98329926
계향각,서울특별시 종로구 동숭길 86  1F,02-3674-7770,4만원 이상,/upload/restaurant_pics/계향각.jpg,37.5821123,127.0043062
효도치킨(광화문점),서울특별시 종로구 사직로8길 21-1 1-2F,02-737-0628,만원-2만원,/upload/restaurant_pics/효도치킨(광화문점).jpg,37.5746539,126.9710667
은성횟집,서울특별시 종로구 창경궁로 88,02-2267-6813,만원-2만원,/upload/restaurant_pics/은성횟집.jpg,37.57036574,127.00018027
고메오드,서울특별시 종로구 삼청로 140,02-336-1541,2만원-3만원,/upload/restaurant_pics/고메오드.jpg,37.5877773,126.9817893
종로도담,서울특별시 종로구 삼봉로 78,02-733-9850,만원 미만,/upload/restaurant_pics/종로도담.jpg,37.5720658,126.9813845
커피원,서울특별시 종로구 새문안로3길 12 신문로빌딩,02-722-4984,만원 미만,/upload/restaurant_pics/커피원.jpg,37.5713399,126.9729599
자이온(종로점),서울특별시 종로구 돈화문로4길 37 5-6F,0507-1441-3132,만원 미만,/upload/restaurant_pics/자이온(종로점).jpg,37.5701633,126.9943829
홍어랑민어랑,서울특별시 종로구 삼일대로28길 7,02-744-8961,만원-2만원,/upload/restaurant_pics/홍어랑민어랑.jpg,37.573521,126.988367
밀과보리,서울특별시 종로구 창덕궁1길 32-1,02-747-5145,만원 미만,/upload/restaurant_pics/밀과보리.jpg,37.57947724,126.98748806
그랜트샌드위치,서울특별시 종로구 삼봉로 81 두산위브 파빌리온 1F 114호,02-6949-3960,만원 미만,/upload/restaurant_pics/그랜트샌드위치.jpg,37.5725619,126.9815061
전라도횟집,서울특별시 종로구 창경궁로 88,02-2263-9463,2만원-3만원,/upload/restaurant_pics/전라도횟집.jpg,37.57018151,126.99805135
통큰누이네육회빈대떡,서울특별시 종로구 동호로 403-24,02-2268-3344,만원-2만원,/upload/restaurant_pics/통큰누이네육회빈대떡.jpg,37.5704755,127.0013467
홈보이서울,서울특별시 종로구 사직로 127-14 1F,02-2274-4371,만원-2만원,/upload/restaurant_pics/홈보이서울.jpg,37.5762131,126.9731568
이다,서울특별시 종로구 서순라길 153,02-744-3979,만원-2만원,/upload/restaurant_pics/이다.jpg,37.5770374,126.9916975
Scoff(부암점),서울특별시 종로구 창의문로 149 1F,070-8801-1739,만원 미만,/upload/restaurant_pics/Scoff(부암점).jpg,37.5931417,126.9635911
유유안(포시즌스호텔서울),서울특별시 종로구 새문안로 97 포시즌스호텔 서울 11F,02-6388-5500,4만원 이상,/upload/restaurant_pics/유유안(포시즌스호텔서울).jpg,37.5707762,126.9754223
체부동잔치집,서울특별시 종로구 자하문로1길 16,02-730-5420,만원 미만,/upload/restaurant_pics/체부동잔치집.jpg,37.57655164,126.9714994
황생가칼국수,서울특별시 종로구 북촌로5길 78,02-739-6334,만원-2만원,/upload/restaurant_pics/황생가칼국수.jpg,37.5801003,126.9806464
순희네빈대떡,서울특별시 종로구 종로32길 5,02-2264-5057,만원 미만,/upload/restaurant_pics/순희네빈대떡.jpg,37.5706173,127.0007117
삼청동수제비,서울특별시 종로구 삼청로 101-1,02-735-2965,만원-2만원,/upload/restaurant_pics/삼청동수제비.jpg,37.5845304,126.9818798
청진옥(본점),서울특별시 종로구 종로3길 32,02-735-1690,만원-2만원,/upload/restaurant_pics/청진옥(본점).jpg,37.5717468,126.9794087
기와탭룸,서울특별시 종로구 율곡로1길 74-7,02-733-1825,만원-2만원,/upload/restaurant_pics/기와탭룸.jpg,37.5786871,126.9817037
온천집,서울특별시 종로구 돈화문로11나길 31-8,0507-1378-8218,2만원-3만원,/upload/restaurant_pics/온천집.jpg,37.5740201,126.9898177
스시누하,서울특별시 종로구 필운대로 35-1,02-725-2416,4만원 이상,/upload/restaurant_pics/스시누하.jpg,37.5791301,126.9686554
안암,서울특별시 종로구 북촌로5길 10,0507-1463-8189,만원 미만,/upload/restaurant_pics/안암.jpg,37.579442,126.9844394
뎁짜이(대학로점),서울특별시 종로구 대학로11길 41-4,02-763-1915,만원-2만원,/upload/restaurant_pics/뎁짜이(대학로점).jpg,37.5823969,126.9992354
컨펙션스바이포시즌스,서울특별시 종로구 새문안로 97 포시즌스호텔서울,02-6388-5520,만원-2만원,/upload/restaurant_pics/컨펙션스바이포시즌스.jpg,37.5707185,126.9753817
누룩나무,서울특별시 종로구 인사동16길 13,02-722-3398,만원-2만원,/upload/restaurant_pics/누룩나무.jpg,37.57524109,126.98413086
혜화칼국수,서울특별시 종로구 창경궁로35길 13,02-743-8212,만원 미만,/upload/restaurant_pics/혜화칼국수.jpg,37.58656331,127.0015172
차차티클럽,서울특별시 종로구 종로46가길 13,070-7755-4758,만원 미만,/upload/restaurant_pics/차차티클럽.jpg,37.5711029,127.0113739
오수흑두부,서울특별시 종로구 인사동8길 12-2,02-735-5255,2만원-3만원,/upload/restaurant_pics/오수흑두부.jpg,37.57393265,126.9860992
히타토제면소(휴업중),서울특별시 종로구 옥인길 19 1F 102호,010-4141-0092,만원-2만원,/upload/restaurant_pics/히타토제면소(휴업중).jpg,37.5806306,126.96741
서촌김씨뜨라또리아,서울특별시 종로구 자하문로9길 6 2F,02-737-7786,2만원-3만원,/upload/restaurant_pics/서촌김씨뜨라또리아.jpg,37.57956443,126.9709413
서울서둘째로잘하는집,서울특별시 종로구 삼청로 122-1,02-734-5302,만원 미만,/upload/restaurant_pics/서울서둘째로잘하는집.jpg,37.5862574,126.9818333
대성집,서울특별시 종로구 사직로 5,02-735-4259,만원-2만원,/upload/restaurant_pics/대성집.jpg,37.5727295,126.9609396
고트델리(서촌점),서울특별시 종로구 필운대로5가길 13 1F,070-8881-0815,만원 미만,/upload/restaurant_pics/고트델리(서촌점).jpg,37.5799247,126.9682418
33마켓,서울특별시 종로구 효자로 33 보안여관 신관 1F,02-722-8409,만원 미만,/upload/restaurant_pics/33마켓.jpg,37.5790288,126.9736755
효자동목고기,서울특별시 종로구 종로16길 24,02-737-7989,만원-2만원,/upload/restaurant_pics/효자동목고기.jpg,37.5690028,126.9886426
커피브론즈,서울특별시 종로구 율곡로5길 20,070-4231-8221,만원 미만,/upload/restaurant_pics/커피브론즈.jpg,37.57708359,126.9848557
왕십리순대국,서울특별시 종로구 율곡로 220-1,02-3672-1133,만원 미만,/upload/restaurant_pics/왕십리순대국.jpg,37.5759485,127.0033439
오리지널팬케잌하우스(세종문화회관점),서울특별시 종로구 세종대로 175 2F,0507-1375-7481,만원-2만원,/upload/restaurant_pics/오리지널팬케잌하우스(세종문화회관점).jpg,37.5722514,126.9759345
스시쿠니,서울특별시 종로구 경교장길 35 팰리스에비뉴 1F 3133호,02-718-4012,만원-2만원,/upload/restaurant_pics/스시쿠니.jpg,37.5677084,126.9657864
오근내5닭갈비(인사동점),서울특별시 종로구 인사동길 49,닭 / 오리 요리,,/upload/restaurant_pics/오근내5닭갈비(인사동점).jpg,37.5744296,126.9835484
청산손만두,서울특별시 종로구 대학로11길 19-6,02-745-4606,만원 미만,/upload/restaurant_pics/청산손만두.jpg,37.58197784,127.00060272
동북화과왕,서울특별시 종로구 종로46길 11 2F,02-745-5168,만원-2만원,/upload/restaurant_pics/동북화과왕.jpg,37.57102607,127.0108669
서울상회,서울특별시 종로구 우정국로2길 17 동강빌딩 3F,02-725-1205,만원 미만,/upload/restaurant_pics/서울상회.jpg,37.5697351,126.9840702
벅벅,서울특별시 종로구 명륜길 46-1,02-765-5059,만원 미만,/upload/restaurant_pics/벅벅.jpg,37.5891704,126.9947713
병천유황오리(본점),서울특별시 종로구 삼봉로 68 신영빌딩,02-722-1530,만원-2만원,/upload/restaurant_pics/병천유황오리(본점).jpg,37.57213974,126.98088837
벤스쿠키(D타워점),서울특별시 종로구 종로3길 17 1F 104호,02-2251-8020,만원 미만,/upload/restaurant_pics/벤스쿠키(D타워점).jpg,37.5709959,126.9789145
여기인가,서울특별시 종로구 자하문로7길 24-4,010-4046-1535,만원 미만,/upload/restaurant_pics/여기인가.jpg,37.5788616,126.9708973
이강순실비집(본점),서울특별시 종로구 청계천로 77-1 1F,02-737-7880,만원-2만원,/upload/restaurant_pics/이강순실비집(본점).jpg,37.568598,126.9861275
대하식당,서울특별시 종로구 자하문로7길 27,02-734-9503,만원-2만원,/upload/restaurant_pics/대하식당.jpg,37.57894516,126.9704742
정담은보쌈(북촌점),서울특별시 종로구 계동길 33-9,02-763-8401,만원-2만원,/upload/restaurant_pics/정담은보쌈(북촌점).jpg,37.5788497,126.9861149
세이지핀치,서울특별시 종로구 필운대로1길 8 1F,010-6836-6724,만원 미만,/upload/restaurant_pics/세이지핀치.jpg,37.5774842,126.9689707
MERCAT,서울특별시 종로구 세종대로 169 삼보빌딩,베이커리,식당 홈페이지로 가기,/upload/restaurant_pics/MERCAT.jpg,37.5714886,126.9763698
알레그리아덕수궁,서울특별시 종로구 새문안로2길 10 덕수궁 디팰리스 1F,02-737-6202,만원 미만,/upload/restaurant_pics/알레그리아덕수궁.jpg,37.5685692,126.9720032
동묘집,서울특별시 종로구 종로52길 43-9 1F,070-8882-8889,만원-2만원,/upload/restaurant_pics/동묘집.jpg,37.5717054,127.0147998
그린냅,서울특별시 종로구 자하문로5길 22 1F,0507-1358-0572,만원 미만,/upload/restaurant_pics/그린냅.jpg,37.5778059,126.9706638
노말사이클코페,서울특별시 종로구 필운대로7길 6-8 3F,010-9879-8695,만원 미만,/upload/restaurant_pics/노말사이클코페.jpg,37.581708,126.968139
카페꼬르꼬바두,서울특별시 종로구 수표로 86-1  1F,02-2272-0111,만원 미만,/upload/restaurant_pics/카페꼬르꼬바두.jpg,37.5688028,126.9899609
정돈(대학로본점),서울특별시 종로구 대학로9길 12 B1,02-987-0924,만원-2만원,/upload/restaurant_pics/정돈(대학로본점).jpg,37.58181327,127.0010914
오가와,서울특별시 종로구 새문안로5길 19 로얄빌딩 B1,02-735-1001,4만원 이상,/upload/restaurant_pics/오가와.jpg,37.5719972,126.9743279
고가빈커리하우스,서울특별시 종로구 경희궁2길 7 3F,02-722-2224,만원-2만원,/upload/restaurant_pics/고가빈커리하우스.jpg,37.57287545,126.9709665
힐사이드테이블,서울특별시 종로구 경희궁2길 7 1F,02-720-5757,만원-2만원,/upload/restaurant_pics/힐사이드테이블.jpg,37.5729026,126.970962
멜팅샵X치즈룸,서울특별시 종로구 종로3길 17 광화문D타워 4F,010-7135-4256,2만원-3만원,/upload/restaurant_pics/멜팅샵X치즈룸.jpg,37.5710195,126.9789714
프릳츠커피컴퍼니(2호점),서울특별시 종로구 율곡로 83 아라리오뮤지엄,02-747-8101,만원 미만,/upload/restaurant_pics/프릳츠커피컴퍼니(2호점).jpg,37.577669,126.988491
자하손만두(부암동본점),서울특별시 종로구 백석동길 12,02-379-2648,만원-2만원,/upload/restaurant_pics/자하손만두(부암동본점).jpg,37.5931385,126.9660218
에베레스트(동대문점),서울특별시 종로구 종로51가길 2-1,02-766-8850,만원-2만원,/upload/restaurant_pics/에베레스트(동대문점).jpg,37.57252475,127.0124419
나무사이로,서울특별시 종로구 사직로8길 21,070-7590-0885,만원 미만,/upload/restaurant_pics/나무사이로.jpg,37.574689,126.9709721
리틀호호,"서울특별시 종로구 삼일대로 385 1F, 2F",02-722-2384,만원-2만원,/upload/restaurant_pics/리틀호호.jpg,37.5689531,126.9873879
나누미떡볶이,서울특별시 종로구 성균관로 9-1,02-747-0881,만원 미만,/upload/restaurant_pics/나누미떡볶이.jpg,37.5837376,126.9978852
사월의물고기,서울특별시 종로구 인사동길 62-5 충훈빌딩 2F,02-733-8520,만원 미만,/upload/restaurant_pics/사월의물고기.jpg,37.5754765,126.983857
토속촌,서울특별시 종로구 자하문로5길 5,02-737-7444,만원-2만원,/upload/restaurant_pics/토속촌.jpg,37.57774757,126.97159993
독도16도,서울특별시 종로구 자하문로33길 10 1F,0507-1359-1811,만원-2만원,/upload/restaurant_pics/독도16도.jpg,37.5862234,126.969367
런던베이글뮤지엄,서울특별시 종로구 북촌로4길 20,02-742-9652,만원 미만,/upload/restaurant_pics/런던베이글뮤지엄.jpg,37.5792482,126.9863677
더마틴,서울특별시 종로구 자하문로 54-1,02-738-2299,만원 미만,/upload/restaurant_pics/더마틴.jpg,37.5809584,126.9715082
명륜건강원,서울특별시 종로구 혜화로3길 5 아남아파트 301동 103호,02-741-2344,만원-2만원,/upload/restaurant_pics/명륜건강원.jpg,37.585419,127.000371
유진식당,서울특별시 종로구 종로17길 40,02-764-2835,만원 미만,/upload/restaurant_pics/유진식당.jpg,37.5719638,126.9883198
뚝배기집,서울특별시 종로구 종로16길 12,02-2265-5744,만원 미만,/upload/restaurant_pics/뚝배기집.jpg,37.5695782,126.988487
모도우(광화문점),서울특별시 종로구 율곡로 6 트윈트리타워 B동 MF,010-3687-8324,4만원 이상,/upload/restaurant_pics/모도우(광화문점).jpg,37.5756452,126.9799777
오설록(북촌점),서울특별시 종로구 북촌로 45,070-4121-2019,만원 미만,/upload/restaurant_pics/오설록(북촌점).jpg,37.5809822,126.9846197
안주마을,서울특별시 종로구 자하문로1길 3,02-723-3529,만원-2만원,/upload/restaurant_pics/안주마을.jpg,37.5764598,126.9721533
인왕산대충유원지,서울특별시 종로구 필운대로 46 4F,070-7807-5640,만원 미만,/upload/restaurant_pics/인왕산대충유원지.jpg,37.5800885,126.9688368
티엔미미,서울특별시 종로구 자하문로7길 19 1F,02-732-0719,만원-2만원,/upload/restaurant_pics/티엔미미.jpg,37.5786379,126.9706651
두오모,서울특별시 종로구 자하문로16길 5 1F,02-730-0902,2만원-3만원,/upload/restaurant_pics/두오모.jpg,37.5816524,126.9715736
온지음,서울특별시 종로구 효자로 49 4F,02-6952-0024,4만원 이상,/upload/restaurant_pics/온지음.jpg,37.58051437,126.9734756
애호락,서울특별시 종로구 계동길 41 2F,02-742-8010,만원-2만원,/upload/restaurant_pics/애호락.jpg,37.5791585,126.9865489
비스트로친친,서울특별시 종로구 효자로13길 54 1F,02-720-6143,2만원-3만원,/upload/restaurant_pics/비스트로친친.jpg,37.582134,126.9727739
서울집시,서울특별시 종로구 서순라길 107,02-743-1212,만원-2만원,/upload/restaurant_pics/서울집시.jpg,37.5750389,126.9915567
국수찾아닭만리,서울특별시 종로구 돈화문로11길 38 1F,02-745-4079,만원-2만원,/upload/restaurant_pics/국수찾아닭만리.jpg,37.57264339,126.9893001
